pincode,constituency_id,locality
110001,2,Connaught Place
110001,2,Parliament House
110002,1,Daryaganj
110003,1,Kamla Market
110003,2,Pandara Road
110003,2,Pragati Vihar
110004,2,Rashtrapati Bhawan
110005,2,Karol Bagh
110006,1,Sadar Bazar
110006,2,Delhi GPO
110007,1,Kamla Nagar
110008,2,Patel Nagar
110009,1,Kishan Ganj
110010,2,Delhi Cantonment
110011,2,Central Secretariat
110013,1,Kingsway Camp
110014,3,Jangpura
110016,2,Green Park
110016,2,Hauz Khas
110017,2,Malviya Nagar
110017,2,Saket
110019,6,Nehru Place
110021,2,Moti Bagh
110022,2,Lodhi Estate
110022,2,R K Puram
110024,2,Defence Colony
110026,2,Kasturba Nagar
110026,7,Punjabi Bagh
110027,7,Rajouri Garden
110029,2,Safdarjung Enclave
110031,5,Rohini Sector 7
110033,1,Adarsh Nagar
110033,1,Adarsh Nagar
110033,1,Model Town
110033,1,Shalimar Bagh
110033,5,Rohini Sector 8
110034,1,Shakur Basti
110034,5,Pitampura
110034,5,Pitampura
110034,5,Pitampura
110034,5,Rohini Sector 16
110035,3,Mayur Vihar Phase 1
110037,2,Indira Gandhi International Airport
110039,5,Bawana
110040,5,Narela
110043,6,Khanpur Extension
110044,6,Badarpur
110045,6,Palam
110045,6,Palam Colony
110045,6,Palam Vihar
110048,2,Greater Kailash Part 1
110048,6,Sangam Vihar
110049,2,Greater Kailash Part 2
110051,3,Krishna Nagar
110051,3,Preet Vihar
110053,1,Mukherjee Nagar
110053,4,Seelampur
110055,1,Paharganj
110055,2,India Gate
110057,2,Rashtrapati Bhawan Estate
110057,6,Vasant Vihar
110058,7,Janakpuri
110060,2,Rajendra Nagar
110060,2,Rajinder Nagar
110062,6,Khanpur
110062,7,Vikaspuri
110065,2,Greater Kailash Part 3
110066,2,Diplomatic Enclave
110068,2,Moti Nagar
110070,2,Chanakyapuri
110072,6,Chhatarpur
110073,6,Lado Sarai
110074,7,Najafgarh
110075,7,Dwarka Sector 2
110076,7,Dwarka Sector 6
110077,7,Dwarka Sector 10
110078,7,Dwarka Sector 12
110080,7,Dwarka Sector 18
110082,1,Model Town Extension
110083,5,Mangol Puri
110083,5,Rohini Sector 3
110084,5,Rohini Sector 9
110086,5,Rohini Sector 14
110087,5,Rohini Sector 18
110088,5,Rithala
110089,5,Rohini Sector 20
110091,3,Trilokpuri
110092,3,Laxmi Nagar
110094,6,Tigri
110096,7,Dwarka Sector 11
